Time (fs)	,	Dipole 10A	,	Dipole 3A	,	3A-10A
64.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
64.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
64.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
65.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
65.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
65.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
65.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
65.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
66.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
66.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
66.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
66.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
66.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
67.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
67.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
67.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
67.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
67.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
68.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
68.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
68.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
68.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
68.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
69.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
69.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
69.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
69.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
69.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
70.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
70.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
70.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
70.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
70.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
71.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
